NAME,SHORTNAME
Build-A-Bear Workshop Inc.,Build-A-Bear Workshop
BBX Capital Corporation Class A,BBX Capital
Best Buy Co. Inc.,Best Buy Co.
Brunswick Corporation,Brunswick
Bison Capital Acquisition Corp.,Bison Capital Acquisition
BCB Bancorp Inc. (NJ),BCB Bancorp (NJ)
Boise Cascade L.L.C.,Boise Cascade L.L.C.
BCE Inc.,BCE
Bonanza Creek Energy Inc.,Bonanza Creek Energy
Banco De Chile ADS,Banco De Chile ADS
Brainstorm Cell Therapeutics Inc.,Brainstorm Cell Therapeutics
iPath Pure Beta Broad Commodity ETN,iPath Pure Beta Broad Commodity ETN
BayCom Corp,BayCom
Brinks Company (The),Brinks Company (The)
B Communications Ltd.,B Communications
Blucora Inc.,Blucora
Brightcove Inc.,Brightcove
1895 Bancorp of Wisconsin Inc.,1895 Bancorp of Wisconsin
Balchem Corporation,Balchem
Blue Capital Reinsurance Holdings Ltd.,Blue Capital Reinsurance
BioCryst Pharmaceuticals Inc.,BioCryst Pharmaceuticals
Barclays PLC,Barclays PLC
Bain Capital Specialty Finance Inc.,Bain Capital Specialty Finance
Bancorp 34 Inc.,Bancorp 34
Bancroft Fund Ltd.,Bancroft Fund
BlackRock Resources of Beneficial Interest,BlackRock Resources of Beneficial Interest
Belden Inc,Belden
2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24 2041,2xLeveraged Long Exchange Traded Access Securities (E-TRACS) Linked to the Wells Fargo Business Development Company Index due May 24 2041
UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26 2041,UBS AG Exchange Traded Access Securities (E TRACS) Linked to the Wells Fargo Business Development Company Index due April 26 2041
DB Base Metals Double Long Exchange Traded Notes due June 1 2038,DB Base Metals Double Long Exchange Traded Notes due June 1 2038
Bridge Bancorp Inc.,Bridge Bancorp
Blackrock Enhanced Equity Dividend Trust,Blackrock Enhanced Equity Dividend Trust
Flanigan's Enterprises Inc.,Flanigan's Enterprises
Brandywine Realty Trust,Brandywine Realty Trust
Blonder Tongue Laboratories Inc.,Blonder Tongue Laboratories
BioDelivery Sciences International Inc.,BioDelivery Sciences International
Becton Dickinson and Company,Becton Dickinson and Company
Bloom Energy Corporation Class A,Bloom Energy
BioTelemetry Inc.,BioTelemetry
Beacon Roofing Supply Inc.,Beacon Roofing Supply
Bright Scholar Education Holdings Limited American Depositary Shares each representing one Class A,Bright Scholar Education Limited American Depositary Shares each representing one
Belmond Ltd. Class A,Belmond
Bel Fuse Inc. Class A Common Stock,Bel Fuse Common Stock
Bel Fuse Inc. Class B Common Stock,Bel Fuse B Common Stock
Franklin Resources Inc.,Franklin Resources
Brookfield Renewable Partners L.P.,Brookfield Renewable Partners
Berry Global Group Inc.,Berry Global
Brown Forman Inc Class A,Brown Forman
Brown Forman Inc Class B,Brown Forman B
Bright Horizons Family Solutions Inc.,Bright Horizons Family Solutions
Bank First National Corporation,Bank First National
BankFinancial Corporation,BankFinancial
BlackRock Municipal Income Trust,BlackRock Municipal Income Trust
Blackrock Florida Municipal 2020 Term Trust,Blackrock Florida Municipal 2020 Term Trust
BBVA Banco Frances S.A.,BBVA Banco Frances S.A.
Biofrontera AG,Biofrontera AG
Saul Centers Inc.,Saul Centers
Business First Bancshares Inc.,Business First Bancshares
BlackRock New York Municipal Income Trust II,BlackRock New York Municipal Income Trust II
BlackRock California Municipal Income Trust,BlackRock California Municipal Income Trust
Bunge Limited,Bunge Limited
Blackstone / GSO Strategic Credit Fund,Blackstone / GSO Strategic Credit Fund
BGC Partners Inc.,BGC Partners
Big 5 Sporting Goods Corporation,Big 5 Sporting Goods
Briggs & Stratton Corporation,Briggs & Stratton
Barings Global Short Duration High Yield Fund of Beneficial Interests,Barings Global Short Duration High Yield Fund of Beneficial Interests
Birks Group Inc.,Birks
BlackRock 2022 Global Income Opportunity Trust of Beneficial Interest,BlackRock 2022 Global Income Opportunity Trust of Beneficial Interest
BeiGene Ltd.,BeiGene
BlackRock Energy and Resources Trust,BlackRock Energy and Resources Trust
B&G Foods Inc.,B&G Foods
BG Staffing Inc,BG Staffing
BlackRock Floating Rate Income Trust,BlackRock Floating Rate Income Trust
Blackstone GSO Long Short Credit Income Fund,Blackstone GSO Long Short Credit Income Fund
Blackrock Enhanced International Dividend Trust,Blackrock Enhanced International Dividend Trust
Biglari Holdings Inc. Class B,Biglari B
Biglari Holdings Inc. Class A,Biglari
Bar Harbor Bankshares Inc.,Bar Harbor Bankshares
Blue Hills Bancorp Inc.,Blue Hills Bancorp
Bausch Health Companies Inc.,Bausch Health Companies
Benchmark Electronics Inc.,Benchmark Electronics
Brighthouse Financial Inc.,Brighthouse Financial
Baker Hughes a GE company Class A,Baker Hughes GE company
Blackrock Core Bond Trust,Blackrock Core Bond Trust
Berkshire Hills Bancorp Inc.,Berkshire Hills Bancorp
BHP Group Limited American Depositary Shares (Each representing two),BHP Limited American Depositary Shares (Each representing two)
Braemar Hotels & Resorts Inc.,Braemar Hotels & Resorts
BioHiTech Global Inc.,BioHiTech Global
BlackRock Virginia Municipal Bond Trust,BlackRock Virginia Municipal Bond Trust
Biohaven Pharmaceutical Holding Company Ltd.,Biohaven Pharmaceutical Holding Company
ProShares Ultra Nasdaq Biotechnology,ProShares Ultra Nasdaq Biotechnology
First Trust Global BICK Index Fund,First Trust BICK Index Fund
Sotheby's,Sotheby's
Baidu Inc.,Baidu
Boulder Growth & Income Fund Inc.,Boulder Growth & Income Fund
Big Lots Inc.,Big Lots
Biogen Inc.,Biogen
SPDR Bloomberg Barclays 1-3 Month T-Bill,SPDR Bloomberg Barclays 1-3 Month T-Bill
Bilibili Inc.,Bilibili
Bio-Rad Laboratories Inc. Class A,Bio-Rad Laboratories
Bio-Rad Laboratories Inc. Class B,Bio-Rad Laboratories B
Biocept Inc.,Biocept
Biolase Inc.,Biolase
BioScrip Inc.,BioScrip
Brookfield Infrastructure Partners LP Limited Partnership Units,Brookfield Infrastructure Partners Limited Partnership Units
Renmin Tianli Group Inc.,Renmin Tianli
ProShares UltraShort Nasdaq Biotechnology,ProShares UltraShort Nasdaq Biotechnology
BlackRock Multi-Sector Income Trust of Beneficial Interest,BlackRock Multi-Sector Income Trust of Beneficial Interest
Bitauto Holdings Limited American Depositary Shares (each representing one),Bitauto Limited American Depositary Shares (each representing one)
Vanguard Intermediate-Term Bond,Vanguard Intermediate-Term Bond
BJ's Wholesale Club Holdings Inc.,BJ's Wholesale Club
VanEck Vectors Gaming,VanEck Vectors Gaming
BJ's Restaurants Inc.,BJ's Restaurants
Bank of New York Mellon Corporation (The),Bank of New York Mellon (The)
REX BKCM,REX BKCM
BlackRock Capital Investment Corporation,BlackRock Capital Investment
Brookdale Senior Living Inc.,Brookdale Senior Living
Buckle Inc. (The),Buckle (The)
Blueknight Energy Partners L.P. L.L.C.,Blueknight Energy Partners L.L.C.
iShares MSCI BRIC Index Fund,iShares MSCI BRIC Index Fund
Black Hills Corporation,Black Hills
Black Knight Inc.,Black Knight
Bancorp of New Jersey Inc,Bancorp of New Jersey
Blackrock Municipal 2020 Term Trust,Blackrock Municipal 2020 Term Trust
Invesco Senior Loan,Invesco Senior Loan
BlackRock Investment Quality Municipal Trust Inc. (The),BlackRock Investment Quality Municipal Trust (The)
Booking Holdings Inc.,Booking
Barnes & Noble Inc.,Barnes & Noble
Bank of South Carolina Corp.,Bank of South Carolina
BlackRock Income Trust Inc. (The),BlackRock Income Trust (The)
BK Technologies Inc.,BK
BankUnited Inc.,BankUnited
BIO-key International Inc.,BIO-key International
BlackLine Inc.,BlackLine
Blue Bird Corporation,Blue Bird
Bellicum Pharmaceuticals Inc.,Bellicum Pharmaceuticals
TopBuild Corp.,TopBuild
Ballard Power Systems Inc.,Ballard Power Systems
Builders FirstSource Inc.,Builders FirstSource
BlackRock Municipal Income Trust II,BlackRock Municipal Income Trust II
BioLife Solutions Inc.,BioLife Solutions
Bridgeline Digital Inc.,Bridgeline Digital
BlackRock Inc.,BlackRock
Blackbaud Inc.,Blackbaud
Ball Corporation,Ball
Bloomin' Brands Inc.,Bloomin' Brands
BSB Bancorp Inc.,BSB Bancorp
Blink Charging Co.,Blink Charging Co.
Bellerophon Therapeutics Inc.,Bellerophon Therapeutics
BioLineRx Ltd.,BioLineRx
bluebird bio Inc.,bluebird bio
Vanguard Long-Term Bond,Vanguard Long-Term Bond
Blackrock Limited Duration Income Trust,Blackrock Limited Duration Income Trust
Banco Latinoamericano de Comercio Exterior S.A.,Banco Latinoamericano de Comercio Exterior S.A.
Banco Macro S.A. ADR (representing Ten Class B),Banco Macro S.A. (representing Ten B)
BMC Stock Holdings Inc.,BMC Stock
Blackrock Health Sciences Trust,Blackrock Health Sciences Trust
Badger Meter Inc.,Badger Meter
Bank Of Montreal,Bank Of Montreal
Biomerica Inc.,Biomerica
Bank of Marin Bancorp,Bank of Marin Bancorp
BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical
Bemis Company Inc.,Bemis Company
Bryn Mawr Bank Corporation,Bryn Mawr Bank
Bristol-Myers Squibb Company,Bristol-Myers Squibb Company
Beneficial Bancorp Inc.,Beneficial Bancorp
Vanguard Total Bond Market ETF,Vanguard Total Bond Market ETF
Barnes & Noble Education Inc,Barnes & Noble Education
Benefitfocus Inc.,Benefitfocus
Bionano Genomics Inc.,Bionano Genomics
United States Brent Oil Fund LP ETV,United States Brent Oil Fund ETV
Bank Nova Scotia Halifax Pfd 3,Bank Nova Scotia Halifax Pfd 3
Bonso Electronics International Inc.,Bonso Electronics International
Benitec Biopharma Limited,Benitec Biopharma Limited
BlackRock New York Municipal Income Trust,BlackRock New York Municipal Income Trust
Bank of Commerce Holdings (CA),Bank of Commerce (CA)
Blackrock Enhanced Global Dividend Trust of Beneficial Interest,Blackrock Enhanced Global Dividend Trust of Beneficial Interest
Bank of Hawaii Corporation,Bank of Hawaii
ProShares Ultra Bloomberg Natural Gas,ProShares Ultra Bloomberg Natural Gas
BOK Financial Corporation,BOK Financial
Audentes Therapeutics Inc.,Audentes Therapeutics
DB Base Metals Double Short Exchange Traded Notes due June 1 2038,DB Base Metals Double Short Exchange Traded Notes due June 1 2038
Boston Omaha Corporation,Boston Omaha
PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund,PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund
DMC Global Inc.,DMC Global
Boot Barn Holdings Inc.,Boot Barn
China New Borun Corporation American Depositary Shares,China New Borun American Depositary Shares
DB Base Metals Short Exchange Traded Notes due June 1 2038,DB Base Metals Short Exchange Traded Notes due June 1 2038
B.O.S. Better Online Solutions,B.O.S. Better Online Solutions
Bank of the James Financial Group Inc.,Bank of the James Financial
Box Inc. Class A,Box
Boxlight Corporation,Boxlight
BP p.l.c.,BP p.l.c.
Boston Private Financial Holdings Inc.,Boston Private Financial
Bridgepoint Education Inc.,Bridgepoint Education
Buckeye Partners L.P.,Buckeye Partners
Blueprint Medicines Corporation,Blueprint Medicines
BP Midstream Partners LP representing Limited Partner Interests,BP Midstream Partners representing Limited Partner Interests
BioPharmX Corporation. Common,BioPharmX Corporation. Common
Popular Inc.,Popular
Brookfield Property REIT Inc.,Brookfield Property REIT
The Bank of Princeton,The Bank of Princeton
BP Prudhoe Bay Royalty Trust,BP Prudhoe Bay Royalty Trust
Bio-Path Holdings Inc.,Bio-Path
Brookfield Property Partners L.P.,Brookfield Property Partners
Blackrock New York Municipal Bond Trust of Beneficial Interest,Blackrock New York Municipal Bond Trust of Beneficial Interest
Broadridge Financial Solutions Inc.Common Stock,Broadridge Financial Solutions Inc.Common Stock
Black Ridge Acquisition Corp.,Black Ridge Acquisition
Brady Corporation,Brady
Craft Brew Alliance Inc.,Craft Brew Alliance
VanEck Vectors Brazil Small-Cap,VanEck Vectors Brazil Small-Cap
BRF S.A.,BRF S.A.
Bluerock Residential Growth REIT Inc. Class A,Bluerock Residential Growth REIT
Bridgford Foods Corporation,Bridgford Foods
Berkshire Hathaway Inc.,Berkshire Hathaway
Berkshire Hathaway Inc.,Berkshire Hathaway
Brookline Bancorp Inc.,Brookline Bancorp
Bruker Corporation,Bruker
Brooks Automation Inc.,Brooks Automation
Barnwell Industries Inc.,Barnwell Industries
Brown & Brown Inc.,Brown & Brown
Big Rock Partners Acquisition Corp.,Big Rock Partners Acquisition
Borqs Technologies Inc.,Borqs
Bristow Group Inc.,Bristow
Global Brass and Copper Holdings Inc.,Global Brass and Copper
BRT Apartments Corp. (MD),BRT Apartments (MD)
Brixmor Property Group Inc.,Brixmor Property
Berry Petroleum Corporation,Berry Petroleum
Banco Santander - Chile ADS,Banco Santander Chile ADS
Banco Santander Brasil SA American Depositary Shares each representing one unit,Banco Santander Brasil SA American Depositary Shares each representing one unit
Invesco BulletShares 2019 Corporate Bond,Invesco BulletShares 2019 Corporate Bond
Invesco BulletShares 2020 Corporate Bond,Invesco BulletShares 2020 Corporate Bond
BlackRock Strategic Municipal Trust Inc. (The),BlackRock Strategic Municipal Trust (The)
Blackrock New York Municipal Income Quality Trust of Beneficial Interest,Blackrock New York Municipal Income Quality Trust of Beneficial Interest
Bassett Furniture Industries Incorporated,Bassett Furniture Industries Incorporated
BioSig Technologies Inc.,BioSig
BrightSphere Investment Group plc,BrightSphere Investment plc
Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest,Blackstone GSO Senior Floating Rate Term Fund of Beneficial Interest
Black Stone Minerals L.P. representing limited partner interests,Black Stone Minerals representing limited partner interests
Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico
BSQUARE Corporation,BSQUARE
Sierra Bancorp,Sierra Bancorp
BlackRock Science and Technology Trust of Beneficial Interest,BlackRock Science and Technology Trust of Beneficial Interest
BioSpecifics Technologies Corp,BioSpecifics
BEST Inc. American Depositary Shares each representing one Class A,BEST American Depositary Shares each representing one
Vanguard Short-Term Bond,Vanguard Short-Term Bond
Bank7 Corp.,Bank7
Boston Scientific Corporation,Boston Scientific
BT Group plc American Depositary Shares,BT plc American Depositary Shares
BlackRock Long-Term Municipal Advantage Trust of Beneficial Interest,BlackRock Long-Term Municipal Advantage Trust of Beneficial Interest
BioXcel Therapeutics Inc.,BioXcel Therapeutics
AGFiQ U.S. Market Neutral Anti-Beta Fund,AGFiQ U.S. Market Neutral Anti-Beta Fund
Baytex Energy Corp,Baytex Energy
B2Gold Corp (Canada),B2Gold (Canada)
British American Tobacco Industries p.l.c. ADR,British American Tobacco Industries p.l.c.
Ballantyne Strong Inc.,Ballantyne Strong
John Hancock Financial Opportunities Fund,John Hancock Financial Opportunities Fund
BlackRock Municipal 2030 Target Term Trust,BlackRock Municipal 2030 Target Term Trust
Peabody Energy Corporation,Peabody Energy
BioTime Inc.,BioTime
BlackRock Credit Allocation Income Trust,BlackRock Credit Allocation Income Trust
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Anheuser-Busch Inbev SA Sponsored (Belgium)
BlackRock Utility Infrastructure & Power Opportunities Trust,BlackRock Utility Infrastructure & Power Opportunities Trust
Chanticleer Holdings Inc.,Chanticleer
Burlington Stores Inc.,Burlington Stores
First Busey Corporation,First Busey
BrightView Holdings Inc.,BrightView
Buenaventura Mining Company Inc.,Buenaventura Mining Company
BroadVision Inc.,BroadVision
BiondVax Pharmaceuticals Ltd.,BiondVax Pharmaceuticals
Babcock & Wilcox Enterprises Inc.,Babcock & Wilcox Enterprises
BorgWarner Inc.,BorgWarner
Bridgewater Bancshares Inc.,Bridgewater Bancshares
Broadwind Energy Inc.,Broadwind Energy
Bankwell Financial Group Inc.,Bankwell Financial
BrandywineGLOBAL Global Income Opportunities Fund Inc.,BrandywineGLOBAL Global Income Opportunities Fund
Bowl America Inc. Class A,Bowl America
Boxwood Merger Corp.,Boxwood Merger
SPDR Bloomberg Barclays Intl Treasury Bd,SPDR Bloomberg Barclays Intl Treasury Bd
BWX Technologies Inc.,BWX
SPDR Bloomberg Barclays Short Term International Treasury Bond,SPDR Bloomberg Barclays Short Term International Treasury Bond
The Blackstone Group L.P. Representing Limited Partnership Interests,The Blackstone Representing Limited Partnership Interests
Bluelinx Holdings Inc.,Bluelinx
Bellatrix Exploration Ltd (Canada),Bellatrix Exploration (Canada)
Bluegreen Vacations Corporation,Bluegreen Vacations
Blackstone Mortgage Trust Inc.,Blackstone Mortgage Trust
Nuveen S&P 500 Buy-Write Income Fund of Beneficial Interest,Nuveen S&P 500 Buy-Write Income Fund of Beneficial Interest
Boston Properties Inc.,Boston Properties
BancorpSouth Bank,BancorpSouth Bank
Byline Bancorp Inc.,Byline Bancorp
Boyd Gaming Corporation,Boyd Gaming
Broadway Financial Corporation,Broadway Financial
Blackrock Municipal Income Quality Trust of Beneficial Interest,Blackrock Municipal Income Quality Trust of Beneficial Interest
BeyondSpring Inc.,BeyondSpring
WisdomTree Brazilian Real Strategy Fund,WisdomTree Brazilian Real Strategy Fund
Beazer Homes USA Inc.,Beazer Homes USA
BlackRock Maryland Municipal Bond Trust of beneficial interest,BlackRock Maryland Municipal Bond Trust of beneficial interest
ProShares UltraShort MSCI Brazil Capped,ProShares UltraShort MSCI Brazil Capped
Baozun Inc.,Baozun
Citigroup Inc.,Citigroup
Corporacion America Airports SA,Corporacion America Airports SA
China Automotive Systems Inc.,China Automotive Systems
Cable One Inc.,Cable One
Camden National Corporation,Camden National
